,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Tau_-8,0.01635244244088989,0.0052944106615903505,0.0020117611207606245,0.005975397544172803,0.026729487337606973
Tau_-7,0.012036868022275873,0.005632884425228877,0.03261070320705328,0.0009964145488272746,0.023077321495724473
Tau_-6,0.017149620497478493,0.00556680584572728,0.002066111201642462,0.006238681039853025,0.02806055995510396
Tau_-5,0.023236486671702868,0.004637986642227856,5.457095413330393e-07,0.01414603285293627,0.03232694049046947
Tau_-4,0.010812033542104553,0.004616270411950289,0.01917580303575739,0.0017641435346819855,0.01985992354952712
Tau_-3,0.010817371238502418,0.0045311506420637505,0.016974074404625394,0.0019363159800574667,0.01969842649694737
Tau_-2,0.00878498872079096,0.004307921110960523,0.041427974568523096,0.00034146334330833507,0.017228514098273584
Tau_0,-0.10487549431480253,0.007699129931745364,0.0,-0.11996578898102345,-0.08978519964858162
Tau_1,-0.11912159042116587,0.009092856497918586,0.0,-0.1369435891570863,-0.10129959168524544
Tau_2,-0.07692162745088008,0.007383258455570901,0.0,-0.09139281402379903,-0.06245044087796111
Tau_3,-0.05221716123251893,0.007802946970486098,2.2206458893947456e-11,-0.06751093729467168,-0.03692338517036618
Tau_4,-0.10532347350414281,0.009611500423699425,0.0,-0.12416201433459369,-0.08648493267369194
Tau_5,-0.10997021123617028,0.010694107422266138,0.0,-0.1309306617838119,-0.08900976068852864
Tau_6,-0.07587799517643973,0.010298420813598497,1.7541523789077473e-13,-0.09606289997109278,-0.05569309038178667
Tau_7,-0.04072889526653479,0.009380183090396134,1.4140881726465437e-05,-0.05911405412371121,-0.022343736409358366
Tau_8,-0.07159962935329911,0.010473331917609515,8.198108858437081e-12,-0.09212735991181376,-0.051071898794784465
