,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Tau_-8,-0.02753097467705886,0.01534137897159368,0.0727292970847917,-0.05760007746138247,0.0025381281072647532
Tau_-7,0.01568853572695101,0.01813363835044381,0.3869532492144474,-0.019853395439918854,0.051230466893820874
Tau_-6,-0.040359408878811176,0.015253437928541221,0.008148943650777785,-0.07025614721875197,-0.010462670538870383
Tau_-5,-0.03644940741424194,0.01210801793149111,0.002610508027379499,-0.06018112255996452,-0.012717692268519366
Tau_-4,0.056841088462197834,0.013573670000714544,2.8231560867508776e-05,0.030236695260797326,0.08344548166359834
Tau_-3,0.03841309991890456,0.014145623240409492,0.006618505116772422,0.010687678367701958,0.06613852147010717
Tau_-2,-0.049414474933628834,0.012194185572223449,5.07796656177284e-05,-0.0733150786551868,-0.025513871212070875
Tau_0,0.29065548416000675,0.017491091569291975,0.0,0.25637294468419447,0.32493802363581903
Tau_1,0.2843425238822653,0.022240002755388108,0.0,0.24075211848170458,0.32793292928282597
Tau_2,0.1381518334407201,0.018567143154666364,1.0147438445073931e-13,0.10176023285757402,0.17454343402386618
Tau_3,0.14170252730978297,0.01851460904541214,1.9761969838327786e-14,0.10541389358077519,0.17799116103879076
Tau_4,0.3222170859776424,0.022774923756336617,0.0,0.27757823541522264,0.3668559365400622
Tau_5,0.2832532678570086,0.026167865233281774,0.0,0.23196425199977633,0.3345422837142409
Tau_6,0.14150753726721418,0.02426944157700735,5.547624803980966e-09,0.09393943177627978,0.1890756427581486
Tau_7,0.11820328731858896,0.023763553208579275,6.571472934702172e-07,0.07162672302977359,0.16477985160740433
Tau_8,0.24134364301412212,0.02867657916581552,0.0,0.1851375478491237,0.29754973817912056
