,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Tau_-8,0.01929037442543358,0.007001054193650176,0.005866381374582286,0.005568308205879235,0.03301244064498793
Tau_-7,0.00048778347049583423,0.0077147565010775195,0.9495858967532134,-0.014633139271616104,0.015608706212607772
Tau_-6,0.004695580782463572,0.007733578759805331,0.5437440325085383,-0.010462233586754879,0.01985339515168202
Tau_-5,0.009697658233388452,0.006400837724353343,0.12976742103264738,-0.0028479837063440996,0.022243300173121004
Tau_-4,-0.010211158940989685,0.006926080754096438,0.14040972335989488,-0.023786277219018704,0.0033639593370393336
Tau_-3,0.003598348911571228,0.006837407695556681,0.5987017894259536,-0.009802970171719867,0.016999667994862324
Tau_-2,0.004299476756107108,0.006695538056001773,0.520786751539394,-0.008823777833656368,0.017422731345870583
Tau_0,-0.04974930349508121,0.007535142940159003,4.114864005089203e-11,-0.06451818365779285,-0.03498042333236956
Tau_1,-0.04150985795715614,0.008229459509419761,4.5838828754973804e-07,-0.057639598595618874,-0.025380117318693413
Tau_2,-0.03764859864149544,0.007874100744751861,1.7496294943963875e-06,-0.05308183610120909,-0.02221536118178179
Tau_3,-0.01922330484089076,0.009584568043878026,0.04490228172896704,-0.03800905820689169,-0.00043755147488983015
Tau_4,-0.042332058112110216,0.009994676668990846,2.287550064639099e-05,-0.06192162438333228,-0.022742491840888158
Tau_5,-0.02939119228421724,0.010271780126067937,0.004221247233251679,-0.049523881331310395,-0.009258503237124086
Tau_6,-0.029685056910646688,0.013183627377534828,0.024350833418091078,-0.05552496657061495,-0.003845147250678426
Tau_7,-0.013302152972324323,0.014228088289479118,0.3498359261236219,-0.0411892060197034,0.014584900075054748
Tau_8,-0.016546870705049854,0.01152601487848955,0.15112343968085962,-0.03913785986688937,0.006044118456789663
