,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Tau_-8,0.019702084833784064,0.008041656408374592,0.014291035474165659,0.0039404382733698624,0.03546373139419827
Tau_-7,0.028007299970656343,0.008195007513358934,0.0006325665081627907,0.011945085244472832,0.044069514696839854
Tau_-6,0.03474934106968586,0.007836845597141564,9.277925540285281e-06,0.019389123699288392,0.05010955844008332
Tau_-5,0.03879961253405544,0.006629544280066941,4.890638116705759e-09,0.02580570574512424,0.05179351932298665
Tau_-4,0.03266743670847424,0.00599511105535872,5.103936384642793e-08,0.020917019039971146,0.04441785437697733
Tau_-3,0.01921371164426921,0.005932266174980434,0.0012014088803229406,0.007586469941307558,0.03084095334723086
Tau_-2,0.015505927938677123,0.005396107813309834,0.004061790734188664,0.0049295566245898485,0.026082299252764396
Tau_0,-0.15923909444684872,0.01303094130672392,0.0,-0.1847797394080276,-0.13369844948566983
Tau_1,-0.1950450681271002,0.015493311831075164,0.0,-0.22541195931600752,-0.1646781769381929
Tau_2,-0.11105458518833736,0.011920963148410875,0.0,-0.13441967295922266,-0.08768949741745205
Tau_3,-0.08118043225300381,0.011858476126268917,7.749578756488518e-12,-0.10442304546049089,-0.05793781904551673
Tau_4,-0.15802487492977035,0.015163489153847956,0.0,-0.18774531367131234,-0.12830443618822837
Tau_5,-0.17522749805010315,0.016832501157369405,0.0,-0.20821920031854718,-0.14223579578165912
Tau_6,-0.10871181621174686,0.014812784805212045,2.204902926905561e-13,-0.13774487442996247,-0.07967875799353125
Tau_7,-0.06553726636142974,0.012540103505091505,1.7414638375790048e-07,-0.0901158692314091,-0.040958663491450394
Tau_8,-0.10907239890497061,0.015620546158697124,2.956079825366942e-12,-0.13968866937601698,-0.07845612843392424
